,CarName,price
150,toyota corona mark ii,5348.0
151,toyota corona,6338.0
152,toyota corolla 1200,6488.0
153,toyota corona hardtop,6918.0
154,toyota corolla 1600 (sw),7898.0
155,toyota carina,8778.0
156,toyota mark ii,6938.0
157,toyota corolla 1200,7198.0
158,toyota corona,7898.0
159,toyota corolla,7788.0
160,toyota corona,7738.0
161,toyota corolla,8358.0
162,toyota mark ii,9258.0
163,toyota corolla liftback,8058.0
164,toyota corona,8238.0
165,toyota celica gt liftback,9298.0
166,toyota corolla tercel,9538.0
167,toyota corona liftback,8449.0
168,toyota corolla,9639.0
169,toyota starlet,9989.0
170,toyota tercel,11199.0
171,toyota corolla,11549.0
172,toyota cressida,17669.0
173,toyota corolla,8948.0
174,toyota celica gt,10698.0
175,toyota corona,9988.0
176,toyota corolla,10898.0
177,toyota mark ii,11248.0
178,toyota corolla liftback,16558.0
179,toyota corona,15998.0
180,toyota starlet,15690.0
181,toyouta tercel,15750.0
182,vokswagen rabbit,7775.0
183,volkswagen 1131 deluxe sedan,7975.0
184,volkswagen model 111,7995.0
185,volkswagen type 3,8195.0
186,volkswagen 411 (sw),8495.0
187,volkswagen super beetle,9495.0
188,volkswagen dasher,9995.0
189,vw dasher,11595.0
190,vw rabbit,9980.0
191,volkswagen rabbit,13295.0
192,volkswagen rabbit custom,13845.0
193,volkswagen dasher,12290.0
194,volvo 145e (sw),12940.0
195,volvo 144ea,13415.0
196,volvo 244dl,15985.0
197,volvo 245,16515.0
198,volvo 264gl,18420.0
199,volvo diesel,18950.0
200,volvo 145e (sw),16845.0
201,volvo 144ea,19045.0
202,volvo 244dl,21485.0
203,volvo 246,22470.0
204,volvo 264gl,22625.0
